id,name,classification,subclassification,date,type,contract_count_buyer,contract_count_supplier,contract_count_funder,contract_amount_buyer,contract_amount_supplier,contract_amount_funder,purchase_count_buyer,purchase_count_supplier,purchase_count_funder,purchase_amount_buyer,purchase_amount_supplier,purchase_amount_funder,other_names,country,source_id,sourceRun_id,id_RFC,legalName_RFC,uri_RFC,verified_RFC,id_RUPC,legalName_RUPC,uri_RUPC,verified_RUPC
constructora-osal-sa-de-cv,CONSTRUCTORA OSAL SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,131,0,0,5285298804206,0,0,0,0,0,0,0,"CONSTRUCTORA OSAL, S.A. DE C.V.-
CONSTRUCTORA OSAL, S.A. DE C.V.
CONSTRUCTORA OSAL S.A. DE C.V.
Constructora Osal S.A. de C.V.
CONSTRUCTORA OSAL S.A DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,COS980403N87,CONSTRUCTORA OSAL SA DE CV,,1,15407,CONSTRUCTORA OSAL SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
arrendadora-del-colorado-del-norte-sa-de-cv,"ARRENDADORA DEL COLORADO DEL NORTE, S.A. DE C.V.",company,profit,2019-01-24T01:17:00.000Z,organizations,0,60,0,0,3976802381030,0,0,0,0,0,0,0,"ARRENDADORA DEL COLORADO DEL NORTE S.A. DE.C.V.
ARRENDADORA DEL COLORADO DEL NORTE S.A. DE C.V.
Arrendadora del Colorado del Norte S.A. de C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,,,,,,,,
constructora-epycsa-sa-de-cv,CONSTRUCTORA EPYCSA SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,76,0,0,2655896950434,0,0,0,0,0,0,0,"CONSTRUCTORA EPYCSA, S.A. DE C.V.
CONSTRUCTORA EPYCSA S.A. DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,CEP920626TK6,CONSTRUCTORA EPYCSA SA DE CV,,1,22837,CONSTRUCTORA EPYCSA SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
eco-constructora-sa-de-cv,"ECO CONSTRUCTORA, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,7,0,0,2133936430202,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,,,,,,,,
constructora-estatal-baja-sa-de-cv,CONSTRUCTORA ESTATAL BAJA S.A. DE C.V.,company,profit,2021-05-09T03:21:07.000Z,organizations,0,3,0,0,2106472700174,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,,,,,,,,
constructora-gallego-sa-de-cv,CONSTRUCTORA GALLEGO SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,55,0,0,1880009306762,0,0,0,0,0,0,0,"CONSTRUCTORA GALLEGO, S.A. DE C.V.
CONSTRUCTORA GALLEGO S.A. DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,CGA8705157I3,CONSTRUCTORA GALLEGO SA DE CV,,1,,,,
grupo-farmacos-especializados-sa-de-cv,GRUPO FARMACOS ESPECIALIZADOS SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,7904,0,0,169639137405,0,0,21621,0,0,86600444483,0,"GRUPO FARMACOS ESPECIALIZADOS, S. A. DE C. V.
GRUPO FARMACOS ESPECIALIZADOS S.A DE C.V
GRUPO FARMACOS ESPECIALIZADOS S.A DE C.V.
GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.
Grupo Farmacos Especializados, S.A. de C.V.
GRUPO FARMACOS ESPECIALIZADOS S.A. DE C.V.
GRUPO FÁRMACOS ESPECIALIZADOS, S.A. DE C.V.
GRUPO FARMACOS ESPECIALIZADOS, S.A DE C.V
GRUPO FARMACOS ESPECIALIZADOS, S.A DE C.V.
GRUPO FARMACOS ESPECIALIZADOS,S.A. DE C.V.
GRUPO FARMACOS ESPECIALIZADOS, SA DE CV
GRUPO FÁRMACOS ESPECIALIZADOS S.A. DE C.V.
Grupo Fármacos Especializados S.A de C.V
Grupo Fármacos Especializados S.A. de C.V.
GRUPO FARMACOS ESPECIALIZADOS S.A. DE C.V
GRUPO FARMACOS ESPECIALIZADOS S..A DE C.V.
GRUPO FARMACOS ESPECIALIZADOS S.A. D E C.V.
GRUPO FÁRMACOS ESPECIALIZADOS S.A. DE .V.
GRUPO FARMACOS ESPECIALIZADOS S A DE C V
GRUPO FARMACOS ESPECIALIZADOS S.A. C.V.
GRUPO FARMACOS ESPECIALIZADOS S. A. DE C. V.
grupo farmacos especializados s.a. de c.v.
GRUPO FARMACOS ESPECIALIZADOS S A DE CV
Grupo fármacos especializados S.A. De C.V.
GRUPO FARMACOS ESPECIALIZADOSSA DE CV
Grupo farmacos especializados S.A. De C.V.
Grupo Fármacos Especializados .S.A. de C.V.
Grupo Farmacos Especializados SA de CV
GRUPO FÁRMACOS ESPECIALIZADOS SA DE CV
GRUPO FARMACOS ESPECIALIZADOS S.A. DE CV.",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,GFE061004F65,GRUPO FARMACOS ESPECIALIZADOS SA DE CV,,1,434,GRUPO FARMACOS ESPECIALIZADOS SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
ingenieros-civiles-asociados-sa-de-cv,INGENIEROS CIVILES ASOCIADOS SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,156,0,0,146734128351,0,0,3,0,0,1290267031,0,"INGENIEROS CIVILES ASOCIADOS, S.A. DE C.V.
INGENIEROS CIVILES ASOCIADOS S.A. DE C.V.
INGENIEROS CIVILES ASOCIADOS, S. A. DE C. V.
INGENIEROS CIVILES ASOCIADOS S.A DE C.V.
Ingenieros Civiles Asociados S.A. de C.V.
ingenieros civiles asociados s.a. de c.v.
Ingenieros Civiles Asociados S.A. De C.V.",México,"compranet
tdc
pot
compranet3
comprasimss",compranet-1620524637144,,,,,8139,INGENIEROS CIVILES ASOCIADOS SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
impresora-silvaform-sa-de-cv,IMPRESORA SILVAFORM SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,368,0,0,139591523561,0,0,15,0,0,"5230521,25",0,"IMPRESORA SILVAFORM, S.A. DE C.V.
IMPRESORA SILVAFORM S.A DE C.V.
Impresora Silvaform, S.A. de C.V.
IMPRESORA SILVAFORM S.A. DE C.V.
IMPRESORA SILVAFORM S. A. DE C. V.
IMPRESORA_SILVAFORM_SA_DE_CV
Impresora Silvaform S.A. de C.V.
IMPRESORA SILVAFORM S.A. DE C.V",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,ISI860331LQ4,IMPRESORA SILVAFORM SA DE CV,,1,13867,IMPRESORA SILVAFORM SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
pego-sa-de-cv,"PEGO, S.A. DE C.V.",company,profit,2019-01-24T01:16:35.000Z,organizations,0,518,0,0,120310906446,0,0,647,0,0,2817502766,0,"PEGO S.A DE C.V
PEGO S.A. DE C.V.
PEGO, S. A. DE C. V.
PEGO S.A DE C.V.
PEGO S. A. DE C. V.
PEGO S A DE C V",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,PEG860506CT9,"PEGO, S.A. DE C.V.",,1,187,"PEGO, S.A. DE C.V.",https://sites.google.com/site/cnetrupc/rupc,
