Entidad federativa,Nombre,Partido,Inicio del mandato,Término del mandato
Aguascalientes,Martín Orozco Sandoval,PAN,1 de diciembre de 2016,30 de septiembre de 2022
Baja California,Marina del Pilar Ávila Olmeda,MORENA,1 de noviembre de 2021,31 de octubre de 2027
Baja California Sur,Víctor Manuel Castro Cosío,MORENA,10 de septiembre de 2021,9 de septiembre de 2027
Campeche,Layda Elena Sansores San Román,MORENA,16 de septiembre de 2021,15 de septiembre de 2027
Chiapas,Rutilio Cruz Escandón Cadenas,MORENA,8 de diciembre de 2018,7 de diciembre de 2024
Chihuahua,María Eugenia Campos Galván,PAN,8 de septiembre de 2021,7 de septiembre de 2027
Ciudad de México,Claudia Sheinbaum Pardo,MORENA,5 de diciembre de 2018,4 de octubre de 2024
Coahuila de Zaragoza,Miguel Ángel Riquelme Solís,PRI,1 de diciembre de 2017,30 de noviembre de 2023
Colima,Indira Vizcaíno Silva,MORENA,1 de noviembre de 2021,31 de octubre de 2027
Durango,José Rosas Aispuro Torres,PAN,15 de septiembre de 2016,14 de septiembre de 2022
Guanajuato,Diego Sinhue Rodríguez Vallejo,PAN,26 de septiembre de 2018,25 de septiembre de 2024
Guerrero,Evelyn Cecia Salgado Pineda,MORENA,15 de octubre de 2021,14 de octubre de 2027
Hidalgo,Omar Fayad Meneses,PRI,5 de septiembre de 2016,4 de septiembre de 2022
Jalisco,Enrique Alfaro Ramírez,MC,6 de diciembre de 2018,5 de diciembre de 2024
México,Alfredo del Mazo Maza,PRI,16 de septiembre de 2017,15 de septiembre de 2023
Michoacán de Ocampo,Alfredo Ramírez Bedolla,MORENA,1 de octubre de 2021,30 de septiembre de 2027
Morelos,Cuauhtémoc Blanco Bravo,PES,1 de octubre de 2018,30 de septiembre de 2024
Nayarit,Miguel Ángel Navarro Quintero,MORENA,19 de septiembre de 2021,18 de septiembre de 2027
Nuevo León,Samuel Alejandro García Sepúlveda,MC,4 de octubre de 2021,3 de octubre de 2027
Oaxaca,Alejandro Ismael Murat Hinojosa,PRI,1 de diciembre de 2016,30 de noviembre de 2022
Puebla,Luis Miguel Gerónimo Barbosa Huerta,MORENA,1 de agosto de 2019,13 de diciembre de 2024
Querétaro,Mauricio Kuri González,PAN,1 de octubre de 2021,30 de septiembre de 2027
Quintana Roo,Carlos Manuel Joaquín González,PRD,25 de septiembre de 2016,24 de septiembre de 2022
San Luis Potosí,José Ricardo Gallardo Cardona,PV,26 de septiembre de 2021,25 de septiembre de 2027
Sinaloa,Rubén Rocha Moya,MORENA,1 de noviembre de 2021,31 de octubre de 2027
Sonora,Francisco Alfonso Durazo Montaño,MORENA,13 de septiembre de 2021,12 de septiembre de 2027
Tabasco,Carlos Manuel Merino Campos,MORENA,26 de agosto de 2021,30 de septiembre de 2024
Tamaulipas,Francisco Javier García Cabeza de Vaca,PAN,1 de octubre de 2016,30 de septiembre de 2022
Tlaxcala,Lorena Cuéllar Cisneros,MORENA,31 de agosto de 2021,30 de agosto de 2027
Veracruz de Ignacio de la Llave,Cuitláhuac García Jiménez,MORENA,1 de diciembre de 2018,30 de noviembre de 2024
Yucatán,Mauricio Vila Dosal,PAN,1 de octubre de 2018,30 de septiembre de 2024
Zacatecas,David Monreal Ávila,,12 de septiembre de 2021,11 de septiembre de 2027
