org,orgLabel
http://www.wikidata.org/entity/Q47099,"Grupo Televisa, owner of TelevisaUnivision"
http://www.wikidata.org/entity/Q482267,América Móvil
http://www.wikidata.org/entity/Q429380,Aeropuertos y Servicios Auxiliares
http://www.wikidata.org/entity/Q515411,Q515411
http://www.wikidata.org/entity/Q521673,Grupo Modelo
http://www.wikidata.org/entity/Q565020,Cuponzote
http://www.wikidata.org/entity/Q576490,Casas GEO
http://www.wikidata.org/entity/Q590897,Empresas ICA
http://www.wikidata.org/entity/Q604034,Atletica
http://www.wikidata.org/entity/Q623591,Grupo México
http://www.wikidata.org/entity/Q630244,Xtreme Fighters Latino
http://www.wikidata.org/entity/Q735562,Soriana
http://www.wikidata.org/entity/Q749474,Financial Group Banamex
http://www.wikidata.org/entity/Q775031,Grupo Bimbo
http://www.wikidata.org/entity/Q806914,Banorte
http://www.wikidata.org/entity/Q266556,Lanix
http://www.wikidata.org/entity/Q871308,Pemex
http://www.wikidata.org/entity/Q891559,Mexican Stock Exchange
http://www.wikidata.org/entity/Q917701,ALFA Group
http://www.wikidata.org/entity/Q953932,Sears
http://www.wikidata.org/entity/Q1053348,Cemex
http://www.wikidata.org/entity/Q1056430,HEINEKEN Mexico
http://www.wikidata.org/entity/Q1281055,TV Azteca
http://www.wikidata.org/entity/Q1146555,Ocean Star Cruises
http://www.wikidata.org/entity/Q1435628,Tigres
http://www.wikidata.org/entity/Q1621240,Ferrocarril Suburbano de la Zona Metropolitana del Valle de México
http://www.wikidata.org/entity/Q1688011,Tequila Herradura
http://www.wikidata.org/entity/Q1757827,Satmex
http://www.wikidata.org/entity/Q2065136,Moto Islo
http://www.wikidata.org/entity/Q2497795,Coppel
http://www.wikidata.org/entity/Q2511956,Vehículos Automotores Mexicanos
http://www.wikidata.org/entity/Q3150581,Industrias CH
http://www.wikidata.org/entity/Q2880934,AT&T México
http://www.wikidata.org/entity/Q2885364,Q2885364
http://www.wikidata.org/entity/Q2918415,Codere
