names,links
"Grupo Televisa, owner of TelevisaUnivision",http://www.wikidata.org/entity/Q47099
Aeropuertos y Servicios Auxiliares,http://www.wikidata.org/entity/Q429380
América Móvil,http://www.wikidata.org/entity/Q482267
Q515411,http://www.wikidata.org/entity/Q515411
Grupo Modelo,http://www.wikidata.org/entity/Q521673
Cuponzote,http://www.wikidata.org/entity/Q565020
Casas GEO,http://www.wikidata.org/entity/Q576490
Empresas ICA,http://www.wikidata.org/entity/Q590897
Atletica,http://www.wikidata.org/entity/Q604034
Grupo México,http://www.wikidata.org/entity/Q623591
Xtreme Fighters Latino,http://www.wikidata.org/entity/Q630244
Soriana,http://www.wikidata.org/entity/Q735562
Financial Group Banamex,http://www.wikidata.org/entity/Q749474
Grupo Bimbo,http://www.wikidata.org/entity/Q775031
Lanix,http://www.wikidata.org/entity/Q266556
Banorte,http://www.wikidata.org/entity/Q806914
Pemex,http://www.wikidata.org/entity/Q871308
Mexican Stock Exchange,http://www.wikidata.org/entity/Q891559
ALFA Group,http://www.wikidata.org/entity/Q917701
Sears,http://www.wikidata.org/entity/Q953932
Cemex,http://www.wikidata.org/entity/Q1053348
HEINEKEN Mexico,http://www.wikidata.org/entity/Q1056430
Ocean Star Cruises,http://www.wikidata.org/entity/Q1146555
TV Azteca,http://www.wikidata.org/entity/Q1281055
Tigres,http://www.wikidata.org/entity/Q1435628
Ferrocarril Suburbano de la Zona Metropolitana del Valle de México,http://www.wikidata.org/entity/Q1621240
Tequila Herradura,http://www.wikidata.org/entity/Q1688011
Satmex,http://www.wikidata.org/entity/Q1757827
Moto Islo,http://www.wikidata.org/entity/Q2065136
AT&T México,http://www.wikidata.org/entity/Q2880934
Q2885364,http://www.wikidata.org/entity/Q2885364
Codere,http://www.wikidata.org/entity/Q2918415
Claro TV,http://www.wikidata.org/entity/Q2919781
Mega Soriana,http://www.wikidata.org/entity/Q2985173
Coppel,http://www.wikidata.org/entity/Q2497795
Vehículos Automotores Mexicanos,http://www.wikidata.org/entity/Q2511956
Banco Nacional de México,http://www.wikidata.org/entity/Q2646652
Mixup,http://www.wikidata.org/entity/Q2839834
todito.com,http://www.wikidata.org/entity/Q2843626
Group Lala,http://www.wikidata.org/entity/Q2855873
Axtel,http://www.wikidata.org/entity/Q2874823
Industrias CH,http://www.wikidata.org/entity/Q3150581
Grupo Reforma,http://www.wikidata.org/entity/Q3209285
Genomma Lab Internacional,http://www.wikidata.org/entity/Q3100803
World Wrestling Association,http://www.wikidata.org/entity/Q3570026
Sky México,http://www.wikidata.org/entity/Q3323885
Bodega Aurrera,http://www.wikidata.org/entity/Q3365858
Jarritos,http://www.wikidata.org/entity/Q3369963
Jumex,http://www.wikidata.org/entity/Q3375400
Tajín,http://www.wikidata.org/entity/Q3376620
Supermercados Gigante,http://www.wikidata.org/entity/Q3504746
Telcel,http://www.wikidata.org/entity/Q3517255
Telnor,http://www.wikidata.org/entity/Q3517416
Alpek,http://www.wikidata.org/entity/Q4734781
Alsea,http://www.wikidata.org/entity/Q4735783
Altos Hornos de México,http://www.wikidata.org/entity/Q4736968
ASARCO,http://www.wikidata.org/entity/Q4654057
Aurrerá,http://www.wikidata.org/entity/Q4822661
BMW Mexico,http://www.wikidata.org/entity/Q4836064
Aztec Bank,http://www.wikidata.org/entity/Q4854076
Bancomext,http://www.wikidata.org/entity/Q4854136
Barcel,http://www.wikidata.org/entity/Q4859834
Boston Medical Group,http://www.wikidata.org/entity/Q4947983
CUDI,http://www.wikidata.org/entity/Q5014680
Cablemás,http://www.wikidata.org/entity/Q5015708
Grupo Cadena,http://www.wikidata.org/entity/Q5016358
Calimax,http://www.wikidata.org/entity/Q5021355
Camino Real Hotels,http://www.wikidata.org/entity/Q5026777
Cemento Cruz Azul,http://www.wikidata.org/entity/Q5058673
Correos de México,http://www.wikidata.org/entity/Q5172898
Q5737720,http://www.wikidata.org/entity/Q5737720
Café Punta del Cielo,http://www.wikidata.org/entity/Q5739148
Caminos y Puentes Federales,http://www.wikidata.org/entity/Q5742457
Q5748770,http://www.wikidata.org/entity/Q5748770
Cervecería Moctezuma,http://www.wikidata.org/entity/Q5763579
Q5769671,http://www.wikidata.org/entity/Q5769671
El Palacio de Hierro,http://www.wikidata.org/entity/Q5351735
Farmacias Guadalajara,http://www.wikidata.org/entity/Q5435609
Farmacias Benavides,http://www.wikidata.org/entity/Q5435613
Gamesa,http://www.wikidata.org/entity/Q5520129
Grupo CIE,http://www.wikidata.org/entity/Q5549508
Gorditas Doña Tota,http://www.wikidata.org/entity/Q5584727
Grupo Aeroportuario Centro Norte,http://www.wikidata.org/entity/Q5612176
Grupo Aeroportuario del Pacífico,http://www.wikidata.org/entity/Q5612177
Grupo Famsa,http://www.wikidata.org/entity/Q5612214
Grupo Multimedios,http://www.wikidata.org/entity/Q5612239
Grupo Posadas,http://www.wikidata.org/entity/Q5612245
GT Global,http://www.wikidata.org/entity/Q5612255
Grupo Vidanta,http://www.wikidata.org/entity/Q5612263
Guía Roji,http://www.wikidata.org/entity/Q5623157
HSBC Mexico,http://www.wikidata.org/entity/Q5635881
Transportes del Nazas,http://www.wikidata.org/entity/Q5637853
Hard Candy Fitness,http://www.wikidata.org/entity/Q5655160
Alestra,http://www.wikidata.org/entity/Q5665942
Audiomaster 3000,http://www.wikidata.org/entity/Q5711393
Q5712397,http://www.wikidata.org/entity/Q5712397
Q5713064,http://www.wikidata.org/entity/Q5713064
Bank of Central America,http://www.wikidata.org/entity/Q5715556
BNKR Arquitectura,http://www.wikidata.org/entity/Q5715748
Q5717818,http://www.wikidata.org/entity/Q5717818
BanBajío,http://www.wikidata.org/entity/Q5718183
Banco del Bienestar,http://www.wikidata.org/entity/Q5719137
Concarril bn,http://www.wikidata.org/entity/Q5731817
Alexander,http://www.wikidata.org/entity/Q5735902
Q5812112,http://www.wikidata.org/entity/Q5812112
Q5822376,http://www.wikidata.org/entity/Q5822376
Everis,http://www.wikidata.org/entity/Q5852793
Q5855855,http://www.wikidata.org/entity/Q5855855
Q5869223,http://www.wikidata.org/entity/Q5869223
Q5872045,http://www.wikidata.org/entity/Q5872045
General Motors de México,http://www.wikidata.org/entity/Q5876989
Q5879372,http://www.wikidata.org/entity/Q5879372
Q5882250,http://www.wikidata.org/entity/Q5882250
Grupo ACIR,http://www.wikidata.org/entity/Q5886021
Q5886031,http://www.wikidata.org/entity/Q5886031
Grupo Empresarial Ángeles,http://www.wikidata.org/entity/Q5886157
Q5886180,http://www.wikidata.org/entity/Q5886180
Grupo Imagen,http://www.wikidata.org/entity/Q5886240
Q5886244,http://www.wikidata.org/entity/Q5886244
Grupo Radio Centro,http://www.wikidata.org/entity/Q5886408
Q5914649,http://www.wikidata.org/entity/Q5914649
Infinitum,http://www.wikidata.org/entity/Q5915728
Q5916125,http://www.wikidata.org/entity/Q5916125
Q5919414,http://www.wikidata.org/entity/Q5919414
Q5923622,http://www.wikidata.org/entity/Q5923622
Hydra Technologies,http://www.wikidata.org/entity/Q5954183
LOB World Clothing,http://www.wikidata.org/entity/Q5961684
Q5961758,http://www.wikidata.org/entity/Q5961758
Q5976339,http://www.wikidata.org/entity/Q5976339
Q5987390,http://www.wikidata.org/entity/Q5987390
Meebox,http://www.wikidata.org/entity/Q6008960
Q6024506,http://www.wikidata.org/entity/Q6024506
Movistar México,http://www.wikidata.org/entity/Q6025457
Telefónica México,http://www.wikidata.org/entity/Q6025474
Nextel México,http://www.wikidata.org/entity/Q6041655
Q6051516,http://www.wikidata.org/entity/Q6051516
Q6055473,http://www.wikidata.org/entity/Q6055473
Italika,http://www.wikidata.org/entity/Q6093543
Q6130898,http://www.wikidata.org/entity/Q6130898
Q6132613,http://www.wikidata.org/entity/Q6132613
Suburbia,http://www.wikidata.org/entity/Q6134992
Superama,http://www.wikidata.org/entity/Q6135762
Q6137663,http://www.wikidata.org/entity/Q6137663
Taller Acústico S.C.,http://www.wikidata.org/entity/Q6138296
Q6142853,http://www.wikidata.org/entity/Q6142853
Totalplay,http://www.wikidata.org/entity/Q6151102
Q6151263,http://www.wikidata.org/entity/Q6151263
Valores Industriales,http://www.wikidata.org/entity/Q6159355
Q6166147,http://www.wikidata.org/entity/Q6166147
Q6168616,http://www.wikidata.org/entity/Q6168616
Q6168617,http://www.wikidata.org/entity/Q6168617
Q6168620,http://www.wikidata.org/entity/Q6168620
Zonda Telecom,http://www.wikidata.org/entity/Q6171720
Q6174645,http://www.wikidata.org/entity/Q6174645
Megacable,http://www.wikidata.org/entity/Q6808160
Keuka,http://www.wikidata.org/entity/Q6395613
Kimberly-Clark de México,http://www.wikidata.org/entity/Q6409886
Kion de Mexico,http://www.wikidata.org/entity/Q6414506
Grupo BAL,http://www.wikidata.org/entity/Q6440633
MASA,http://www.wikidata.org/entity/Q6714509
Minera San Xavier,http://www.wikidata.org/entity/Q6864249
Mut-vitz,http://www.wikidata.org/entity/Q6943626
Productos Mendoza,http://www.wikidata.org/entity/Q7247861
Pascual Boing,http://www.wikidata.org/entity/Q7141857
Pineda Covalín,http://www.wikidata.org/entity/Q7195474
S-Mart,http://www.wikidata.org/entity/Q7387069
SDI Media Mexico,http://www.wikidata.org/entity/Q7389452
Sabritas,http://www.wikidata.org/entity/Q7396446
Seguros Azteca,http://www.wikidata.org/entity/Q7446417
Selther,http://www.wikidata.org/entity/Q7448831
Semex,http://www.wikidata.org/entity/Q7449251
Sigma Alimentos,http://www.wikidata.org/entity/Q7512267
Softtek,http://www.wikidata.org/entity/Q7554165
Telecosmo,http://www.wikidata.org/entity/Q7696109
Telesistema Mexicano,http://www.wikidata.org/entity/Q7696837
Televisa Deportes,http://www.wikidata.org/entity/Q7696918
Tornel,http://www.wikidata.org/entity/Q7826080
Strategic Marine,http://www.wikidata.org/entity/Q7621806
Toryumon,http://www.wikidata.org/entity/Q7827515
Transportes Moctezuma de la Laguna,http://www.wikidata.org/entity/Q7835317
Unefón,http://www.wikidata.org/entity/Q7884173
Universal Lucha Libre,http://www.wikidata.org/entity/Q7894010
Uriarte Talavera,http://www.wikidata.org/entity/Q7900558
Ánima Estudios,http://www.wikidata.org/entity/Q8076952
Imevisión,http://www.wikidata.org/entity/Q9008090
Luz y Fuerza del Centro,http://www.wikidata.org/entity/Q9025671
MVS Comunicaciones,http://www.wikidata.org/entity/Q9026411
Televisa Internacional,http://www.wikidata.org/entity/Q9085582
TracFone Wireless,http://www.wikidata.org/entity/Q9089355
Q11121253,http://www.wikidata.org/entity/Q11121253
Izzi Telecom,http://www.wikidata.org/entity/Q11680385
Grupo Gigante,http://www.wikidata.org/entity/Q11682223
Minera Real de Angeles,http://www.wikidata.org/entity/Q12147140
Aguila Ammunition,http://www.wikidata.org/entity/Q12176488
Administradora Coahuilense de Infraestructura y Transporte Aéreo,http://www.wikidata.org/entity/Q16487355
Q16489891,http://www.wikidata.org/entity/Q16489891
Q16564015,http://www.wikidata.org/entity/Q16564015
Fundidora Monterrey,http://www.wikidata.org/entity/Q16570122
Q16572768,http://www.wikidata.org/entity/Q16572768
Q16587311,http://www.wikidata.org/entity/Q16587311
Q16587483,http://www.wikidata.org/entity/Q16587483
Q16618159,http://www.wikidata.org/entity/Q16618159
Q17058108,http://www.wikidata.org/entity/Q17058108
Grupo Anderson's,http://www.wikidata.org/entity/Q17067129
Casa Aramara,http://www.wikidata.org/entity/Q17108693
Q17274895,http://www.wikidata.org/entity/Q17274895
PJP4,http://www.wikidata.org/entity/Q17280695
Club Premier,http://www.wikidata.org/entity/Q17479873
Linio,http://www.wikidata.org/entity/Q17620099
Q17620243,http://www.wikidata.org/entity/Q17620243
Bio Pappel,http://www.wikidata.org/entity/Q17622888
Eutelsat Americas,http://www.wikidata.org/entity/Q17631764
Q17633354,http://www.wikidata.org/entity/Q17633354
Q18418472,http://www.wikidata.org/entity/Q18418472
Kurazai Motorcycles,http://www.wikidata.org/entity/Q19691975
Ganabet Mexico,http://www.wikidata.org/entity/Q19939047
Squad,http://www.wikidata.org/entity/Q21010246
Machina,http://www.wikidata.org/entity/Q21015802
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",http://www.wikidata.org/entity/Q24655074
Cielito Querido Café,http://www.wikidata.org/entity/Q28155510
Politec,http://www.wikidata.org/entity/Q26758095
La Comer,http://www.wikidata.org/entity/Q26765126
Ayco,http://www.wikidata.org/entity/Q27830263
Boehringer Ingelheim (Mexico),http://www.wikidata.org/entity/Q30273336
Merck Sharp & Dohme (Mexico),http://www.wikidata.org/entity/Q30269288
Laboratorios Sophia (Mexico),http://www.wikidata.org/entity/Q43895045
Instituto Lala (Mexico),http://www.wikidata.org/entity/Q50035374
Novartis (Mexico),http://www.wikidata.org/entity/Q50039747
Vips,http://www.wikidata.org/entity/Q48783378
Toks,http://www.wikidata.org/entity/Q48835586
Solaris Hotels,http://www.wikidata.org/entity/Q52385869
Monte Xanic,http://www.wikidata.org/entity/Q53469317
Bital,http://www.wikidata.org/entity/Q55605529
Editorial Mexicana de Musica Internacional S.A. de C.V.,http://www.wikidata.org/entity/Q56585511
Farmacias Similares,http://www.wikidata.org/entity/Q62564610
Cuauhtemoc Brewery,http://www.wikidata.org/entity/Q61501534
Las Estrellas Internacional,http://www.wikidata.org/entity/Q61890241
Q71327536,http://www.wikidata.org/entity/Q71327536
GTE General de telecomunicaciones,http://www.wikidata.org/entity/Q73747539
Novedades Electronicas S.A.,http://www.wikidata.org/entity/Q74165582
ABC Noticias,http://www.wikidata.org/entity/Q75755892
Bitso,http://www.wikidata.org/entity/Q76761850
Q78791679,http://www.wikidata.org/entity/Q78791679
SV Audio Solutions,http://www.wikidata.org/entity/Q79461809
Witness MX,http://www.wikidata.org/entity/Q84170824
Q102291616,http://www.wikidata.org/entity/Q102291616
Treehouse Entertainment,http://www.wikidata.org/entity/Q99870192
Café Baristi,http://www.wikidata.org/entity/Q99959844
"Discos y Cintas Melody, S.A.",http://www.wikidata.org/entity/Q100249498
Novo Nordisk (Mexico),http://www.wikidata.org/entity/Q100956116
Sanofi (Mexico),http://www.wikidata.org/entity/Q100956125
Q104216684,http://www.wikidata.org/entity/Q104216684
Q104218061,http://www.wikidata.org/entity/Q104218061
Q104218069,http://www.wikidata.org/entity/Q104218069
Edufold,http://www.wikidata.org/entity/Q104855363
Novusred,http://www.wikidata.org/entity/Q105630774
Lizos Music,http://www.wikidata.org/entity/Q106369984
Bayer (Mexico),http://www.wikidata.org/entity/Q106411713
Dirty,http://www.wikidata.org/entity/Q106895656
Galeria Emilia Cohen,http://www.wikidata.org/entity/Q107122465
Digibuy,http://www.wikidata.org/entity/Q107048623
Resuelve tu Deuda,http://www.wikidata.org/entity/Q107578371
Sushi Roll,http://www.wikidata.org/entity/Q110702340
